Phase,Station,Station Lat (¼),Station Lon (¼),Station Zed (km),Event Lat (¼),Event Lon (¼),Event Depth (km),Delay Time (s),Bandpass (Hz)
 P, TL01,-9.2068,124.3642,0.021,7.7448,94.3342,21.54,-1.31136, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,7.7448,94.3342,21.54,0.92189, 0.02-0.1
 P, TL03,-8.6043,125.5572,0.692,7.7448,94.3342,21.54,-0.30297, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,7.7448,94.3342,21.54,-0.69976, 0.02-0.1
 P, TL07,-8.8558,126.3628,0.056,7.7448,94.3342,21.54,0.46217, 0.02-0.1
 P, TL08,-8.4947,126.9908,0.398,7.7448,94.3342,21.54,0.93003, 0.02-0.1
 P, TL01,-9.2068,124.3642,0.021,-26.1692,179.2877,495,-0.22115, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-26.1692,179.2877,495,0.26347, 0.02-0.1
 P, TL03,-8.6043,125.5572,0.692,-26.1692,179.2877,495,-0.18978, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-26.1692,179.2877,495,-1.27889, 0.02-0.1
 P, TL08,-8.4947,126.9908,0.398,-26.1692,179.2877,495,0.88633, 0.02-0.1
 P, TL07,-8.8558,126.3628,0.056,-12.0989,166.5894,98,0.50099, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-10.5365,161.7027,57,-0.62823, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,-10.5365,161.7027,57,-0.51135, 0.02-0.1
 P, TL07,-8.8558,126.3628,0.056,-10.5365,161.7027,57,-0.4783, 0.02-0.1
 P, TL01,-9.2068,124.3642,0.021,-11.2701,162.1481,22.56,-0.67896, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-11.2701,162.1481,22.56,0.57467, 0.02-0.1
 P, TL03,-8.6043,125.5572,0.692,-11.2701,162.1481,22.56,0.60107, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-11.2701,162.1481,22.56,-0.83448, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,-11.2701,162.1481,22.56,0.56362, 0.02-0.1
 P, TL07,-8.8558,126.3628,0.056,-11.2701,162.1481,22.56,-0.22593, 0.02-0.1
 P, TL01,-9.2068,124.3642,0.021,-11.4633,162.0511,39,0.11281, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-11.4633,162.0511,39,0.67486, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-11.4633,162.0511,39,-0.41309, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,-11.4633,162.0511,39,0.6896, 0.02-0.1
 P, TL07,-8.8558,126.3628,0.056,-11.4633,162.0511,39,0.14184, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-11.1387,164.8139,10,-0.33572, 0.02-0.1
 P, TL08,-8.4947,126.9908,0.398,-11.1387,164.8139,10,0.60477, 0.02-0.1
 P, TL08,-8.4947,126.9908,0.398,-20.752,-174.7068,45,-0.02777, 0.02-0.1
 P, TL01,-9.2068,124.3642,0.021,-21.4542,170.3546,106,-0.56428, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-21.4542,170.3546,106,0.24086, 0.02-0.1
 P, TL03,-8.6043,125.5572,0.692,-21.4542,170.3546,106,-0.11436, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-21.4542,170.3546,106,-0.77772, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,-21.4542,170.3546,106,0.27379, 0.02-0.1
 P, TL08,-8.4947,126.9908,0.398,-21.4542,170.3546,106,1.14479, 0.02-0.1
 P, TL01,-9.2068,124.3642,0.021,-24.6108,179.0856,527,-0.64293, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-24.6108,179.0856,527,0.33483, 0.02-0.1
 P, TL03,-8.6043,125.5572,0.692,-24.6108,179.0856,527,0.05626, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-24.6108,179.0856,527,-0.91673, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,-24.6108,179.0856,527,0.2405, 0.02-0.1
 P, TL07,-8.8558,126.3628,0.056,-24.6108,179.0856,527,-0.28691, 0.02-0.1
 P, TL08,-8.4947,126.9908,0.398,-24.6108,179.0856,527,1.21498, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,34.9118,139.4186,153,1.95474, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,19.6557,99.6696,6,0.6521, 0.02-0.1
 P, TL03,-8.6043,125.5572,0.692,19.6557,99.6696,6,-0.66074, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,19.6557,99.6696,6,-0.17828, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,19.6557,99.6696,6,-0.56143, 0.02-0.1
 P, TL08,-8.4947,126.9908,0.398,19.6557,99.6696,6,0.74835, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-10.1229,91.0921,4,1.67715, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-10.1229,91.0921,4,-1.10419, 0.02-0.1
 P, TL05,-8.9853,125.6598,0.502,-10.1229,91.0921,4,1.24033, 0.02-0.1
 P, TL01,-9.2068,124.3642,0.021,-13.5585,166.8278,36,-0.29054, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-13.5585,166.8278,36,0.33977, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-13.5585,166.8278,36,-1.01424, 0.02-0.1
 P, TL05,-8.9853,125.6598,0.502,-13.5585,166.8278,36,0.24083, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,-13.5585,166.8278,36,0.04942, 0.02-0.1
 P, TL01,-9.2068,124.3642,0.021,-29.9772,-177.7247,20,-0.37561, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-29.9772,-177.7247,20,0.1261, 0.02-0.1
 P, TL03,-8.6043,125.5572,0.692,-29.9772,-177.7247,20,-0.1178, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-29.9772,-177.7247,20,-1.26117, 0.02-0.1
